name,smiles
Tamoxifen,CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
Ondansetron,Cc1ncc2CC(=O)N(C)c3ccccc3C2n1
Gabapentin,NCC1(CC(=O)O)CCCCC1
Pregabalin,CC(C)C[C@H](CN)CC(=O)O
Duloxetine,CNCC[C@@H](Oc1cccc2ccccc12)c3cccs3
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
Escitalopram,CN(C)CCCC1(OCc2cc(C#N)ccc12)c3ccc(F)cc3
Aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
Quetiapine,CC1=Nc2ccccc2N(CCOCCO)c3cc(Cl)ccc13
Olanzapine,Cc1cc2NC(=O)c3cc(N4CCN(C)CC4)ccc3N=C2S1
Risperidone,Cc1nc2n(CC3CCN(CCc4ccc(F)cc4)CC3)c(=O)c3ccccc3c2n1
Lamotrigine,Nc1nnc(c(N)c1N=Nc2ccc(Cl)cc2Cl)c3ccccc3
Topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
Levetiracetam,CC[C@H](C(=O)N)N1CCCC1=O
Valproic_Acid,CCCC(CCC)C(=O)O
Carbamazepine,NC(=O)N1c2ccccc2C=Cc3ccccc13
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c3ccccc3)N1
Memantine,CC12CC3CC(N)(C1)CC(C)(C3)C2
Donepezil,COc1cc2CC(CC3CCN(Cc4ccccc4)C3)C(=O)c2cc1OC
Rivastigmine,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1
Galantamine,COc1ccc2C3=CC[C@H]4O[C@@H]5CC(O)=C[C@H](CN(C)C3)[C@@H]5c4c2c1
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Carbidopa,CC(C)(NN)C(O)(Cc1ccc(O)c(O)c1)C(=O)O
Ropinirole,CCCN(CCC)CCc1cccc2NC(=O)Cc12
Pramipexole,NCCC1=CN(CCCC2CCCC2)c2ncccc12
Entacapone,CCN(CC)C(=O)C(=C\[N+](=O)[O-])\c1cc(O)c(O)cc1
Tadalafil,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c5ccc6OCOc6c5)C1=O
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
Vardenafil,CCCc1nc(C)c2c(=O)[nH]c(nc2n1CC)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC)CC4
Finasteride,CC(C)C(=O)N[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
Dutasteride,CC(C)C(=O)N[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
Tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(S(N)(=O)=O)c2
Solifenacin,c1ccc2c(c1)[C@@H](N3CCN(CC3)c4ccccc4)CCc5cccnc25
Oxybutynin,CCN(CC)CC(O)C(=O)Oc1ccccc1C2CCCCC2
Insulin_Glargine,InsulinAnalog
Metformin_XR,CN(C)C(=N)NC(=N)N
Sitagliptin,Fc1cc(F)c(CC(N)CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)cc1F
Canagliflozin,Cc1ccc(Cc2ccc(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)cc2)s1
Dapagliflozin,CCOc1ccc(Cc2ccc(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)cc2)cc1
Empagliflozin,OC[C@H]1O[C@H](c2ccc(Cc3ccc(OC4CCCC4)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O
Liraglutide,GLP1Analog
Semaglutide,GLP1Analog
Dulaglutide,GLP1Analog
Rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(c1C=CC(O)CC(O)CC(=O)O)c2ccc(F)cc2
Pravastatin,CC[C@H](C)[C@H]1C(=O)O[C@H]2C[C@H](O)C=C3C=C[C@@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]23
Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12
Ezetimibe,C[C@@H]([C@H]1[C@H]([C@H](c2ccc(F)cc2)c3ccc(O)cc3)O1)c4ccc(F)cc4
Evolocumab,PCSK9Inhibitor
Alirocumab,PCSK9Inhibitor
Clopidogrel,COC(=O)C(c1ccccc1Cl)N2CCc3sccc3C2
Ticagrelor,CCCCSc1nc(N[C@@H]2C[C@@H]2c3ccc(F)c(F)c3)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
Prasugrel,CC(=O)Oc1ccc2C(CC(=O)N3CCc4sccc4C3)c5ccccc5-c2c1
Apixaban,COc1ccc(n2nc(C(N)=O)c3c2C(=O)N(c4ccc(N5CCOCC5)cc4)CC3)cc1
Rivaroxaban,Clc1ccc(n2nc(C(=O)NCc3ccc(N4CCOCC4=O)cc3)oc2=O)cc1
Dabigatran,Cn1c(N)nc(CNCc2ccc(C(=O)N(CCC(=O)O)c3ccccc3C#N)cc2)c(=O)c1N
Enoxaparin,Heparin
Fondaparinux,SyntheticHeparin
Nivolumab,PD1Antibody
Pembrolizumab,PD1Antibody
Atezolizumab,PDL1Antibody
Ipilimumab,CTLA4Antibody
Trastuzumab,HER2Antibody
Rituximab,CD20Antibody
Bevacizumab,VEGFAntibody
Cetuximab,EGFRAntibody
Adalimumab,TNFaAntibody
Infliximab,TNFaAntibody
Etanercept,TNFaFusionProtein
Tocilizumab,IL6RAntibody
Secukinumab,IL17AAntibody
Ustekinumab,IL12IL23Antibody
Vedolizumab,Integrin4b7Antibody
Natalizumab,Integrin4Antibody
Omalizumab,IgEAntibody
Mepolizumab,IL5Antibody
Benralizumab,IL5RAntibody
Dupilumab,IL4RAntibody
